"id","code","name","user_type_id/id","reconcile","chart_template_id/id","tag_ids/id"
"account_1101","1101","brevetti e copyright","account.data_account_type_fixed_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_11"
"account_1102","1102","software","account.data_account_type_fixed_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_11"
"account_1121","1121","fondo amm. brevetti e copyright","account.data_account_type_depreciation","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_11"
"account_1122","1122","fondo amm. software","account.data_account_type_depreciation","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_11"
"account_1201","1201","abbigliamento","account.data_account_type_fixed_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_12"
"account_1202","1202","apparecchiature elettroniche","account.data_account_type_fixed_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_12"
"account_1203","1203","arredamenti","account.data_account_type_fixed_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_12"
"account_1204","1204","attrezzature e macchinari","account.data_account_type_fixed_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_12"
"account_1205","1205","automezzi","account.data_account_type_fixed_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_12"
"account_1210","1210","beni preziosi","account.data_account_type_fixed_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_12"
"account_1211","1211","immobili","account.data_account_type_fixed_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_12"
"account_1212","1212","opere di valore","account.data_account_type_fixed_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_12"
"account_1221","1221","fondo amm. abbigliamento","account.data_account_type_depreciation","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_12"
"account_1222","1222","fondo amm. apparecchiature elettroniche","account.data_account_type_depreciation","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_12"
"account_1223","1223","fondo amm. arredamenti","account.data_account_type_depreciation","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_12"
"account_1224","1224","fondo amm. attrezzature e macchinari","account.data_account_type_depreciation","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_12"
"account_1225","1225","fondo amm. automezzi","account.data_account_type_depreciation","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_12"
"account_1301","1301","conti deposito","account.data_account_type_current_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_13"
"account_1310","1310","finanziamenti attivi","account.data_account_type_current_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_13"
"account_1320","1320","fondi d'investimento","account.data_account_type_current_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_13"
"account_1330","1330","titoli e azioni","account.data_account_type_current_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_13"
"account_1401","1401","crediti v/clienti ","account.data_account_type_receivable","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_14"
"account_1402","1402","crediti per stipendi","account.data_account_type_receivable","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_14"
"account_1501","1501","crediti per imposte","account.data_account_type_receivable","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_15"
"account_1502","1502","crediti v/istituti previdenziali","account.data_account_type_receivable","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_15"
"account_1503","1503","crediti vari","account.data_account_type_receivable","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_15"
"account_1504","1504","prestiti attivi","account.data_account_type_receivable","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_15"
"account_1601","1601","c/c bancari","account.data_account_type_liquidity","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_16"
"account_1610","1610","c/c postali","account.data_account_type_liquidity","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_16"
"account_1620","1620","carte prepagate / ricaricabili","account.data_account_type_liquidity","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_16"
"account_1630","1630","contanti","account.data_account_type_liquidity","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_16"
"account_1640","1640","paypal","account.data_account_type_liquidity","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_16"
"account_1801","1801","ratei attivi","account.data_account_type_non_current_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_18"
"account_1802","1802","risconti attivi","account.data_account_type_non_current_assets","TRUE","l10n_it_chart_tmpl_personal","tag_acc_1,tag_acc_18"
"account_2001","2001","patrimonio netto (esercizi precedenti)","account.data_account_type_equity","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_20"
"account_2002","2002","utile d'esercizio","account.data_account_type_equity","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_20"
"account_2003","2003","perdita d'esercizio","account.data_account_type_equity","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_20"
"account_2310","2310","finanziamenti passivi","account.data_account_type_current_liabilities","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_23"
"account_2320","2320","leasing","account.data_account_type_current_liabilities","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_23"
"account_2330","2330","mutui passivi","account.data_account_type_current_liabilities","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_23"
"account_2340","2340","rateizzazioni","account.data_account_type_current_liabilities","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_23"
"account_2401","2401","debiti v/fornitori ","account.data_account_type_payable","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_24"
"account_2501","2501","debiti per imposte","account.data_account_type_payable","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_25"
"account_2502","2502","debiti v/istituti previdenziali","account.data_account_type_payable","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_25"
"account_2503","2503","debiti vari","account.data_account_type_payable","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_25"
"account_2504","2504","prestiti passivi","account.data_account_type_payable","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_25"
"account_2801","2801","ratei passivi","account.data_account_type_non_current_liabilities","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_28"
"account_2802","2802","risconti passivi","account.data_account_type_non_current_liabilities","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_28"
"account_2901","2901","carte di credito","account.data_account_type_credit_card","TRUE","l10n_it_chart_tmpl_personal","tag_acc_2,tag_acc_29"
"account_3101","3101","fatture emesse","account.data_account_type_revenue","FALSE","l10n_it_chart_tmpl_personal","tag_acc_3,tag_acc_31"
"account_3102","3102","prestazioni occasionali","account.data_account_type_revenue","FALSE","l10n_it_chart_tmpl_personal","tag_acc_3,tag_acc_31"
"account_3103","3103","ricavi da istituti previdenziali","account.data_account_type_revenue","FALSE","l10n_it_chart_tmpl_personal","tag_acc_3,tag_acc_31"
"account_3104","3104","stipendi","account.data_account_type_revenue","FALSE","l10n_it_chart_tmpl_personal","tag_acc_3,tag_acc_31"
"account_4101","4101","beni alimentari","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_41"
"account_4102","4102","canoni di leasing","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_41"
"account_4103","4103","consulenze professionali","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_41"
"account_4104","4104","mezzi di trasporto","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_41"
"account_4105","4105","regali","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_41"
"account_4106","4106","servizi pubblicitari","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_41"
"account_4107","4107","shopping vario","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_41"
"account_4108","4108","spese di spedizione","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_41"
"account_4109","4109","spese per software","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_41"
"account_4110","4110","spese postali","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_41"
"account_4111","4111","telefonia mobile","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_41"
"account_4201","4201","affitti passivi","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_42"
"account_4202","4202","energia elettrica","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_42"
"account_4203","4203","imposte su locali","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_42"
"account_4204","4204","internet e telefonia fissa","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_42"
"account_4205","4205","manutenzione e riparazione locali","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_42"
"account_4206","4206","riscaldamento (gas e acqua)","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_42"
"account_4207","4207","spese di amministrazione","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_42"
"account_4301","4301","assicurazioni","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_43"
"account_4302","4302","autostrade","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_43"
"account_4303","4303","benzina","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_43"
"account_4304","4304","manutenzione e riparazione automezzi","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_43"
"account_4305","4305","multe e more varie","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_43"
"account_4306","4306","parcheggi","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_43"
"account_4307","4307","ricariche elettriche","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_43"
"account_4308","4308","tasse di circolazione","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_43"
"account_4401","4401","centri sportivi","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_44"
"account_4402","4402","centri termali","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_44"
"account_4403","4403","prodotti di prevenzione","account.data_account_type_expenses","FALSE","l10n_it_chart_tmpl_personal","tag_acc_4,tag_acc_44"
